52.7672,-1.24613,143624
52.7607,-1.24334,143625
52.7637,-1.24453,143626
52.7617,-1.24397,143627
52.7542,-1.23972,143628
52.7581,-1.2418,143629
52.7583,-1.24193,143630
52.7581,-1.24185,143631
52.7579,-1.2417,143632
52.7579,-1.24189,143633
52.7584,-1.24238,143634
52.7586,-1.2426,143635
52.7587,-1.2427,143636
52.7587,-1.24267,143637
52.7588,-1.24275,143638
52.759,-1.2429,143639
52.7591,-1.24295,143640
52.759,-1.24287,143641
52.7586,-1.24261,143642
52.7584,-1.24247,143643
52.7583,-1.24237,143644
52.758,-1.24206,143645
52.7578,-1.24191,143646
52.7579,-1.24193,143647
52.7579,-1.24181,143648
52.7563,-1.24055,143649
52.7614,-1.24427,143650
52.7603,-1.24346,143651
52.7604,-1.24357,143652
52.7597,-1.24327,143653
52.7586,-1.24262,143654
52.7586,-1.24259,143655
52.7592,-1.24312,143656
52.7591,-1.24296,143657
52.7588,-1.24274,143658
52.7587,-1.24269,143659
52.7587,-1.2427,143700
52.746,-1.23709,143701
52.7549,-1.24104,143702
52.7573,-1.24206,143703
52.7574,-1.2421,143704
52.7571,-1.24198,143705
52.757,-1.24185,143706
52.7567,-1.24171,143707
52.7564,-1.24149,143708
52.7552,-1.24083,143709
52.7531,-1.23961,143710
52.844,-1.29274,143711
52.9897,-1.39313,143712
52.7486,-1.23531,143713
52.7489,-1.23502,143714
52.7598,-1.24367,143715
52.7585,-1.24258,143716
52.7583,-1.24236,143717
52.7582,-1.24229,143718
52.7576,-1.24193,143719
52.7526,-1.23915,143720
52.7918,-1.26064,143721
52.7602,-1.24343,143722
52.7594,-1.243,143723
52.7593,-1.24296,143724
52.7593,-1.24298,143725
